States,Latitude,Longitude
安徽,33.25,115.35
北京,39.54,115.79
重庆,31.05,109.52
福建,26.23,117.58
甘肃,39.83,97.73
广东,23.08,114.4
广西,21.95,108.62
贵州,27.68,109.13
海南,18.26,109.5
河北,37.72,115.7
黑龙江,46.4,125.32
河南,33.57,114.03
湖北,32.57,110.78
湖南,25.97,113.4
江苏,34.38,118.35
江西,27.97,116.36
吉林,45.5,124.3
辽宁,41.81,120.76
内蒙古,50.78,121.52
宁夏,39.23,106.77
陕西,34.8,109.94
山东,35.99,119.38
上海,31.22,121.44
四川,31.13,104.4
天津,39.23,117.78
新疆,42.94,89.17
西藏,28.95,89.63
云南,25.03,98.47
浙江,28.85,121.12
西藏,30.15,88.78
香港,22.43,114.15
澳门,22.2,113.5
台湾,22.9,121.3
山西,37.86,112.55
